IATA_CODE,LATITUDE,LONGITUDE
ABE,40.65236,-75.4404
ABI,32.41132,-99.6819
ABQ,35.04022,-106.60919
ABR,45.44906,-98.42183
ABY,31.53552,-84.19447
ACK,41.25305,-70.06018
ACT,31.61129,-97.23052
ACV,40.97812,-124.10862
ACY,39.45758,-74.57717
ADK,51.87796,-176.64603
ADQ,57.74997,-152.49386
AEX,31.32737,-92.54856
AGS,33.36996,-81.9645
AKN,58.6768,-156.64922
ALB,42.74812,-73.80298
ALO,42.55708,-92.40034
AMA,35.21937,-101.70593
ANC,61.17432,-149.99619
APN,45.07807,-83.56029
ASE,39.22316,-106.86885
ATL,33.64044,-84.42694
ATW,44.25741,-88.51948
AUS,30.19453,-97.66987
AVL,35.43619,-82.54181
AVP,41.33815,-75.72427
AZO,42.23488,-85.55206
BDL,41.93887,-72.68323
BET,60.77978,-161.838
BFL,35.4336,-119.05677
BGM,42.20848,-75.97961
BGR,44.80744,-68.82814
BHM,33.56294,-86.75355
BIL,45.80766,-108.54286
BIS,46.77411,-100.74672
BJI,47.50942,-94.93372
BLI,48.79275,-122.53753
BMI,40.47799,-88.91595
BNA,36.12448,-86.67818
BOI,43.56444,-116.22278
BOS,42.36435,-71.00518
BPT,29.95083,-94.02069
BQK,31.25903,-81.46631
BQN,18.49486,-67.12944
BRD,46.39786,-94.13723
BRO,25.90683,-97.42586
BRW,71.28545,-156.766
BTM,45.9548,-112.49746
BTR,30.53316,-91.14963
BTV,44.473,-73.15031
BUF,42.94052,-78.73217
BUR,34.20062,-118.3585
BWI,39.1754,-76.6682
BZN,45.7769,-111.15301
CAE,33.93884,-81.11954
CAK,40.91631,-81.44247
CDC,37.70097,-113.09858
CDV,60.49183,-145.47765
CEC,41.78016,-124.23653
CHA,35.03527,-85.20379
CHO,38.13864,-78.45286
CHS,32.89865,-80.04051
CID,41.88459,-91.71087
CIU,46.25075,-84.47239
CLD,33.12723,-117.27873
CLE,41.41089,-81.8494
CLL,30.58859,-96.36382
CLT,35.21401,-80.94313
CMH,39.99799,-82.89188
